ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
115,D,Road,3,5,168,2,high,M,50,1616,Yes
116,F,Road,3,4,176,3,high,M,36,1779,Yes
117,A,Road,4,1,150,4,high,M,60,1024,Yes
118,B,Road,4,3,265,2,medium,F,31,2326,Yes
119,C,Road,2,5,263,3,low,F,5,2947,Yes
120,F,Road,5,1,145,3,low,M,20,1387,Yes
121,D,Road,4,2,183,3,low,F,33,2741,Yes
122,F,Road,3,3,205,3,medium,F,19,2167,Yes
123,A,Road,4,2,160,3,low,M,64,1714,Yes
124,B,Road,3,3,252,2,medium,F,48,2102,Yes
125,C,Road,5,5,222,3,low,M,10,2280,Yes
126,F,Road,3,3,203,2,low,M,25,3607,Yes
127,D,Road,4,5,220,3,medium,M,40,3516,Yes
128,F,Road,3,3,147,4,low,F,60,1722,Yes
129,A,Road,4,4,200,4,medium,M,16,2060,Yes
130,B,Road,4,5,224,4,medium,M,21,2026,Yes
131,C,Road,3,5,179,2,low,F,17,1364,Yes
132,F,Road,3,4,144,3,low,M,50,1865,Yes
133,D,Flight,5,2,247,3,low,M,17,3889,Yes
134,F,Flight,5,4,280,6,medium,F,51,3582,Yes
135,A,Flight,3,3,168,2,medium,F,1,1829,Yes
136,B,Flight,3,5,157,3,medium,F,4,1889,Yes
137,C,Flight,3,3,189,4,medium,F,51,2208,Yes
138,F,Flight,3,5,162,2,medium,M,7,1739,Yes
139,D,Flight,4,1,207,5,low,M,48,2399,Yes
140,F,Flight,5,1,237,2,low,F,10,3860,Yes
141,A,Flight,4,4,264,3,high,M,59,2020,Yes
142,B,Flight,5,4,149,3,low,M,51,1645,Yes
143,C,Flight,5,5,162,3,low,M,41,1462,Yes
144,F,Flight,2,1,205,4,medium,F,63,2156,Yes
145,D,Flight,2,1,158,3,medium,F,51,1540,Yes
146,F,Flight,2,2,248,2,low,M,46,3707,Yes
147,A,Flight,3,5,191,3,low,M,23,3750,Yes
148,B,Flight,4,3,146,4,medium,F,24,1844,Yes
149,C,Flight,3,3,135,3,low,M,56,1490,Yes
150,F,Flight,5,1,149,3,low,M,40,1062,Yes
151,D,Flight,4,4,220,2,medium,F,7,2551,Yes
152,F,Flight,5,3,98,5,medium,M,44,1269,Yes
153,A,Flight,3,4,97,4,low,M,32,1238,Yes
154,B,Flight,3,3,183,2,low,M,53,3932,Yes
155,C,Ship,3,3,162,3,medium,F,8,1869,Yes
156,F,Ship,5,1,114,4,low,F,47,1443,Yes
157,D,Ship,6,3,275,5,low,M,41,2491,Yes
158,F,Ship,3,2,203,2,medium,F,39,3845,Yes
159,A,Ship,5,5,205,2,high,M,65,3671,Yes
160,B,Ship,3,3,149,3,low,F,63,1946,Yes
161,C,Ship,2,2,112,4,medium,M,56,1138,Yes
162,F,Ship,3,1,207,3,medium,F,56,3482,Yes
163,D,Ship,4,1,261,4,low,F,58,3427,Yes
164,F,Ship,5,2,274,3,medium,M,6,3375,Yes
165,A,Ship,3,5,141,2,low,M,52,1692,Yes
166,B,Ship,3,3,166,4,medium,F,17,1498,Yes
167,C,Ship,5,2,141,3,high,F,34,1020,Yes
168,F,Ship,4,5,152,3,low,M,43,1709,Yes
169,D,Ship,4,2,250,3,low,F,53,2478,Yes
170,F,Ship,4,3,161,3,medium,F,28,1809,Yes
171,A,Ship,4,3,185,3,medium,F,10,2263,Yes
172,B,Ship,4,4,176,4,high,F,52,1096,Yes
173,C,Ship,3,4,148,3,low,M,56,1550,Yes
174,F,Ship,3,2,270,3,low,F,63,2751,Yes
175,D,Ship,3,3,242,3,low,F,51,3935,Yes
176,F,Ship,4,4,150,2,medium,M,3,1285,Yes
177,A,Ship,4,5,192,3,high,M,20,3872,Yes
178,B,Ship,4,5,116,3,medium,M,54,1314,Yes
179,C,Ship,3,3,192,3,medium,F,2,3995,Yes
180,F,Ship,5,5,255,4,medium,M,3,3440,Yes
181,D,Ship,4,1,161,7,medium,F,18,1294,Yes
182,F,Ship,4,5,157,3,low,M,20,1487,Yes
183,A,Ship,3,2,164,10,high,F,28,1940,Yes
184,B,Ship,3,5,162,7,medium,F,16,1052,Yes
185,C,Ship,3,3,146,2,low,M,50,1486,Yes
186,F,Ship,3,2,209,3,medium,M,54,3001,Yes
187,D,Ship,5,4,134,2,medium,F,55,1386,Yes
188,F,Ship,2,1,222,2,medium,M,5,3778,Yes
189,A,Ship,2,5,139,3,low,F,27,1233,Yes
190,B,Ship,2,4,134,3,low,F,42,1415,Yes
191,C,Ship,2,5,130,3,low,M,16,1092,Yes
192,F,Ship,2,5,133,3,low,F,62,1596,Yes
193,D,Ship,2,4,140,3,low,F,7,1411,Yes
194,F,Ship,2,2,158,3,low,M,28,1968,Yes
195,A,Ship,4,2,270,4,low,F,46,1736,Yes
196,B,Ship,2,5,140,3,low,F,30,1030,Yes
197,C,Ship,2,2,135,3,low,M,15,1339,Yes
198,F,Ship,2,3,136,3,low,F,19,1568,Yes
199,D,Ship,2,3,142,3,medium,F,38,7640,Yes
200,F,Ship,2,2,154,3,medium,M,38,7846,Yes
201,A,Ship,2,3,139,3,low,M,9,1471,Yes
202,B,Ship,2,3,160,3,low,F,43,1251,Yes
203,C,Ship,2,4,134,3,low,M,58,1067,Yes
204,F,Ship,5,3,161,5,high,M,48,1883,Yes
205,D,Ship,2,5,155,3,low,M,23,1602,Yes
206,F,Ship,2,3,145,3,medium,F,24,7588,Yes
207,A,Ship,2,2,157,3,low,M,1,1477,Yes
208,B,Ship,2,2,160,3,low,M,48,1691,Yes
209,C,Ship,2,4,152,3,low,M,55,1498,Yes
210,F,Ship,2,5,148,3,high,F,11,1502,Yes
211,D,Ship,2,1,127,3,low,F,15,1522,Yes
212,F,Ship,2,5,154,3,low,F,21,1113,Yes
213,A,Ship,2,5,127,3,low,M,44,1341,Yes
214,B,Ship,2,5,160,3,medium,F,31,7401,Yes
215,C,Ship,2,4,129,3,low,F,48,1219,Yes
216,F,Ship,2,5,158,3,low,F,40,1722,Yes
217,D,Ship,4,3,185,3,medium,M,3,3131,Yes
218,F,Ship,4,4,176,4,high,F,63,1293,Yes
219,A,Ship,3,4,148,3,low,M,37,1523,Yes
220,B,Ship,3,5,270,3,low,M,60,3885,Yes
221,C,Ship,3,4,242,3,low,M,29,2381,Yes
222,F,Ship,4,3,150,2,medium,M,31,1588,Yes
223,D,Ship,4,2,192,3,high,M,4,2061,Yes
224,F,Ship,4,5,116,3,medium,F,9,1314,Yes
225,A,Ship,3,4,192,3,medium,F,31,3331,Yes
226,B,Ship,5,4,255,4,medium,F,38,2771,Yes
227,C,Ship,4,3,161,7,medium,M,63,1496,Yes
228,F,Ship,4,2,157,3,low,F,48,1393,Yes
229,D,Ship,3,2,164,10,high,M,14,1375,Yes
230,F,Ship,3,3,162,7,medium,F,42,1278,Yes
231,A,Ship,3,1,146,2,low,F,54,1528,Yes
232,B,Ship,3,4,209,3,medium,F,60,2240,Yes
233,C,Ship,5,5,134,2,medium,M,53,1088,Yes
234,F,Ship,2,1,222,2,medium,M,58,3626,Yes
235,D,Ship,2,1,139,3,low,F,39,1582,Yes
236,F,Ship,2,2,134,3,low,M,38,1352,Yes
237,A,Ship,2,3,130,3,low,F,48,1801,Yes
238,B,Ship,2,2,133,3,low,M,5,1268,Yes
239,C,Ship,2,3,140,3,low,F,23,1372,Yes
240,F,Ship,2,3,158,3,low,M,10,1515,Yes
241,D,Ship,4,5,270,4,low,M,65,1818,Yes
242,F,Ship,2,4,140,3,low,F,33,1278,Yes
243,A,Ship,2,2,135,3,low,M,58,1734,Yes
244,B,Ship,2,4,136,3,low,M,43,1958,Yes
245,C,Ship,2,1,142,3,medium,F,8,6064,Yes
246,F,Ship,2,4,154,3,medium,F,48,7684,Yes
247,D,Ship,2,3,139,3,low,F,3,1788,Yes
248,F,Road,2,4,160,3,low,F,50,1030,Yes
249,A,Road,2,2,134,3,low,F,38,1530,Yes
250,B,Road,5,5,161,5,high,F,54,1511,Yes
251,C,Road,2,3,155,3,low,F,45,1639,Yes
252,F,Road,2,2,145,3,medium,F,5,6102,Yes
253,D,Road,2,1,157,3,low,M,58,1930,Yes
254,F,Road,2,5,160,3,low,F,19,1399,Yes
255,A,Road,2,2,152,3,low,F,61,1800,Yes
256,B,Road,2,2,148,3,high,F,35,1349,Yes
257,C,Road,2,2,127,3,low,M,13,1128,Yes
258,F,Road,2,2,129,3,medium,F,22,6614,Yes
259,D,Road,2,3,158,3,low,F,13,1245,Yes
260,F,Road,2,4,147,3,low,M,5,1920,Yes
261,A,Road,2,5,159,3,low,F,49,1621,Yes
262,B,Road,2,3,151,3,low,F,23,1930,Yes
263,C,Road,3,1,294,4,low,F,52,1089,Yes
264,F,Road,3,2,226,2,medium,M,45,1446,Yes
265,D,Road,5,3,271,5,high,M,9,1813,Yes
266,F,Road,7,2,203,5,medium,F,61,1856,Yes
267,A,Road,2,3,264,4,low,F,10,1648,Yes
268,B,Road,4,1,258,3,medium,M,36,2211,Yes
269,C,Road,3,5,241,3,low,F,21,3078,Yes
270,F,Flight,4,5,208,3,medium,M,23,2056,Yes
271,D,Flight,3,2,209,5,medium,F,12,3054,Yes
272,F,Flight,5,1,182,2,medium,F,23,2707,Yes
273,A,Flight,4,5,148,2,medium,F,43,1087,Yes
274,B,Flight,2,3,183,2,medium,F,52,3199,Yes
275,C,Flight,3,5,229,6,medium,M,22,2717,Yes
276,F,Flight,5,5,115,5,low,F,26,1692,Yes
277,D,Flight,4,2,136,3,low,F,65,1962,Yes
278,F,Flight,4,4,212,3,low,M,21,3307,Yes
279,A,Flight,4,3,171,3,low,F,24,1304,Yes
280,B,Flight,3,1,151,2,low,M,60,1925,Yes
281,C,Flight,3,1,205,3,medium,M,39,3062,Yes
282,F,Flight,5,4,147,3,medium,M,23,1132,Yes
283,D,Flight,3,3,155,3,low,F,29,1712,Yes
284,F,Flight,5,4,165,3,low,F,20,1150,Yes
285,A,Flight,5,5,230,3,low,F,32,3249,Yes
286,B,Flight,2,4,181,4,medium,M,13,2309,Yes
287,C,Flight,5,3,234,2,low,F,55,3308,Yes
288,F,Flight,4,4,149,3,low,M,34,1977,Yes
289,D,Flight,5,5,156,2,low,M,44,1561,Yes
290,F,Flight,4,2,172,3,medium,F,59,1858,Yes
291,A,Flight,4,4,270,3,low,M,12,3279,Yes
292,B,Ship,4,1,206,3,medium,M,23,3807,Yes
293,C,Ship,4,3,211,4,medium,M,40,3106,Yes
294,F,Ship,3,2,136,4,low,M,62,1090,Yes
295,D,Ship,5,1,186,2,high,F,52,3981,Yes
296,F,Ship,3,1,202,2,medium,M,62,3398,Yes
297,A,Ship,4,2,183,3,medium,F,12,3646,Yes
298,B,Ship,4,4,232,2,low,M,36,2861,Yes
299,C,Ship,4,2,147,4,medium,M,52,1129,Yes
300,F,Ship,4,3,136,3,medium,M,20,1531,Yes
301,D,Ship,5,3,127,3,low,F,43,1446,Yes
302,F,Ship,4,5,202,2,medium,M,35,3695,Yes
303,A,Ship,3,4,241,2,low,M,57,3671,Yes
304,B,Ship,4,3,222,2,medium,M,55,3833,Yes
305,C,Ship,3,2,183,4,medium,F,12,2777,Yes
306,F,Ship,4,4,249,3,medium,F,36,3769,Yes
307,D,Ship,3,1,243,4,high,M,59,3838,Yes
308,F,Ship,3,3,163,3,medium,M,9,1257,Yes
309,A,Ship,4,2,165,2,high,M,11,1596,Yes
310,B,Ship,5,5,266,3,medium,F,53,3089,Yes
311,C,Ship,3,4,193,2,medium,M,48,3909,Yes
312,F,Ship,3,2,154,3,low,F,56,1136,Yes
313,D,Ship,3,3,140,3,medium,M,51,1046,Yes
314,F,Ship,4,3,272,3,medium,M,38,3705,Yes
315,A,Ship,4,2,143,6,medium,M,20,1654,Yes
316,B,Ship,4,2,138,3,low,F,30,1805,Yes
317,C,Ship,4,2,238,2,high,M,17,3358,Yes
318,F,Ship,4,5,273,4,medium,F,31,2373,Yes
319,D,Ship,3,1,200,2,medium,M,27,2551,Yes
320,F,Ship,4,5,213,4,low,M,39,2381,Yes
321,A,Ship,3,4,224,2,medium,F,15,2701,Yes
322,B,Ship,4,5,141,3,medium,M,12,1672,Yes
323,C,Ship,3,3,150,3,low,M,46,1040,Yes
324,F,Ship,3,1,192,2,low,M,33,2818,Yes
325,D,Ship,5,1,279,4,medium,F,24,3440,Yes
326,F,Ship,3,4,246,3,medium,M,30,3748,Yes
327,A,Ship,3,4,173,3,medium,M,52,1587,Yes
328,B,Ship,4,4,233,4,medium,F,59,2358,Yes
329,C,Ship,5,1,274,2,medium,M,24,2423,Yes
330,F,Ship,4,5,243,4,medium,F,41,2782,Yes
331,D,Ship,3,4,197,3,medium,F,56,3427,Yes
332,F,Ship,4,3,140,3,high,F,46,1072,Yes
333,A,Ship,3,5,215,3,medium,F,22,2585,Yes
334,B,Ship,3,4,211,3,medium,M,8,3710,Yes
335,C,Ship,4,2,220,5,low,M,33,2854,Yes
336,F,Ship,3,1,194,4,low,M,64,2026,Yes
337,D,Ship,5,1,262,3,medium,F,58,3599,Yes
338,F,Ship,4,4,201,2,low,F,1,3147,Yes
339,A,Ship,3,5,261,3,medium,M,15,2989,Yes
340,B,Ship,4,4,191,6,low,F,60,3425,Yes
341,C,Ship,2,5,255,5,medium,F,53,3775,Yes
342,F,Ship,3,2,169,2,high,M,30,1698,Yes
343,D,Ship,4,5,162,2,medium,M,64,1918,Yes
344,F,Ship,2,5,248,6,low,F,62,2750,Yes
345,A,Ship,5,3,197,4,low,F,2,2222,Yes
346,B,Ship,5,1,264,3,low,M,6,2882,Yes
347,C,Ship,5,5,260,2,medium,F,55,2791,Yes
348,F,Ship,5,3,186,2,medium,F,58,2259,Yes
349,D,Ship,4,5,233,4,low,F,44,2551,Yes
350,F,Ship,5,1,161,3,low,M,47,1954,Yes
351,A,Ship,4,5,188,3,low,F,13,2409,Yes
352,B,Ship,5,5,171,2,medium,F,22,1695,Yes
353,C,Ship,2,2,267,3,medium,M,15,2481,Yes
354,F,Ship,4,3,255,2,high,M,47,2956,Yes
355,D,Ship,3,2,132,3,low,F,56,1303,Yes
356,F,Ship,5,1,266,3,low,F,31,3157,Yes
357,A,Ship,3,4,198,2,low,M,25,2774,Yes
358,B,Ship,2,3,247,2,medium,F,62,3127,Yes
359,C,Ship,3,1,140,3,medium,F,65,1291,Yes
360,F,Ship,4,3,131,5,low,M,6,1659,Yes
361,D,Ship,5,2,246,3,medium,M,49,3236,Yes
362,F,Ship,3,2,159,3,medium,F,4,1681,Yes
363,A,Ship,3,5,203,2,medium,M,61,3642,Yes
364,B,Ship,4,3,187,4,high,F,29,3141,Yes
365,C,Ship,6,2,146,3,low,F,62,1936,Yes
366,F,Ship,3,2,234,3,medium,M,39,2099,Yes
367,D,Ship,3,4,122,3,high,F,15,1354,Yes
368,F,Ship,3,3,135,3,low,M,8,1074,Yes
369,A,Ship,3,5,103,3,low,M,3,1403,Yes
370,B,Ship,3,5,257,3,medium,F,19,2173,Yes
371,C,Ship,4,3,169,2,low,M,2,1399,Yes
372,F,Ship,4,5,159,3,medium,M,18,1808,Yes
373,D,Ship,4,5,188,3,low,M,38,3031,Yes
374,F,Ship,5,1,136,3,medium,M,19,1420,Yes
375,A,Ship,5,1,227,3,low,F,19,3007,Yes
376,B,Ship,3,5,262,2,low,F,53,3275,Yes
377,C,Ship,2,3,157,2,low,M,45,1965,Yes
378,F,Ship,5,3,238,2,medium,F,21,2053,Yes
379,D,Ship,3,5,152,3,low,M,43,1282,Yes
380,F,Ship,3,2,201,3,medium,M,5,2040,Yes
381,A,Ship,3,4,148,2,low,M,54,1778,Yes
382,B,Ship,5,2,199,4,low,F,59,2885,Yes
383,C,Ship,5,4,215,2,low,F,45,3501,Yes
384,F,Ship,4,5,175,2,low,M,40,1270,Yes
385,D,Road,4,3,236,2,high,M,23,3123,Yes
386,F,Road,2,5,182,2,medium,F,57,2896,Yes
387,A,Road,3,1,251,3,medium,M,42,3698,Yes
388,B,Road,5,2,173,3,low,F,7,1855,Yes
389,C,Road,4,3,225,3,low,F,62,2587,Yes
390,F,Road,4,2,167,4,low,F,20,1705,Yes
391,D,Road,4,1,259,3,low,M,20,2154,Yes
392,F,Road,4,1,178,3,medium,F,63,1573,Yes
393,A,Road,4,4,178,4,medium,F,13,1614,Yes
394,B,Road,5,4,169,2,low,F,20,1765,Yes
395,C,Road,3,2,272,2,low,M,33,2321,Yes
396,F,Road,4,4,183,3,low,M,29,3251,Yes
397,D,Road,3,4,205,3,low,F,10,2728,Yes
398,F,Road,2,1,123,4,low,F,53,1036,Yes
399,A,Road,4,3,152,3,low,M,58,1453,Yes
400,B,Road,3,1,220,2,high,F,40,3773,Yes
401,C,Road,4,3,134,3,low,M,51,1965,Yes
402,F,Road,3,2,217,2,high,M,19,2992,Yes
403,D,Road,3,2,265,3,low,F,49,2791,Yes
404,F,Road,4,2,249,5,medium,M,36,3836,Yes
405,A,Road,5,3,213,4,medium,F,50,2003,Yes
406,B,Road,2,2,124,3,low,F,56,1494,Yes
407,C,Flight,4,1,180,2,low,M,23,1193,Yes
408,F,Flight,4,5,193,3,medium,M,65,2267,Yes
409,D,Flight,3,2,192,3,medium,M,43,3339,Yes
410,F,Flight,2,5,166,3,medium,M,3,1832,Yes
411,A,Flight,3,2,264,3,medium,M,5,3861,Yes
412,B,Flight,3,4,200,2,medium,M,14,3528,Yes
413,C,Flight,4,3,142,4,medium,M,12,1396,Yes
414,F,Flight,4,1,215,2,low,M,32,3066,Yes
415,D,Flight,2,1,218,2,low,M,15,2745,Yes
416,F,Flight,3,2,115,3,low,F,27,1814,Yes
417,A,Flight,4,3,159,3,low,M,33,1330,Yes
418,B,Flight,5,5,133,3,low,M,63,1218,Yes
419,C,Flight,5,2,178,3,low,M,48,1517,Yes
420,F,Flight,4,2,134,2,low,F,43,1714,Yes
421,D,Flight,3,1,184,5,medium,F,58,2544,Yes
422,F,Flight,4,2,251,2,medium,M,24,2405,Yes
423,A,Flight,3,2,141,3,low,M,7,1933,Yes
424,B,Flight,4,4,229,2,medium,M,45,3776,Yes
425,C,Flight,4,1,203,4,low,M,34,3813,Yes
426,F,Flight,4,3,158,3,medium,F,57,1911,Yes
427,D,Flight,3,4,167,3,medium,M,52,1755,Yes
428,F,Flight,5,4,197,4,low,F,40,3303,Yes
429,A,Ship,2,2,140,3,low,F,19,1806,Yes
430,B,Ship,5,1,205,2,medium,M,27,3569,Yes
431,C,Ship,5,5,208,3,low,F,45,2018,Yes
432,F,Ship,4,2,96,3,low,M,22,1294,Yes
433,D,Ship,6,4,205,3,low,F,44,2064,Yes
434,F,Ship,4,2,215,3,medium,F,48,2953,Yes
435,A,Ship,4,1,216,3,low,F,43,2643,Yes
436,B,Ship,3,1,112,2,high,M,22,1846,Yes
437,C,Ship,5,4,222,3,low,F,20,3632,Yes
438,F,Ship,5,2,186,3,medium,F,15,2153,Yes
439,D,Ship,3,5,241,3,medium,M,48,2841,Yes
440,F,Ship,3,3,172,3,low,F,58,1269,Yes
441,A,Ship,3,5,251,2,high,M,23,2426,Yes
442,B,Ship,5,3,190,3,high,M,45,2628,Yes
443,C,Ship,4,3,186,2,medium,F,48,2805,Yes
444,F,Ship,4,4,207,2,medium,M,35,2596,Yes
445,D,Ship,3,3,135,3,low,F,19,1366,Yes
446,F,Ship,4,4,189,2,medium,F,18,2955,Yes
447,A,Ship,4,4,173,5,medium,F,51,1691,Yes
448,B,Ship,3,4,194,3,medium,M,3,2169,Yes
449,C,Ship,3,1,183,3,low,M,19,3018,Yes
450,F,Ship,4,3,140,2,low,F,22,1248,Yes
451,D,Ship,4,4,244,3,medium,F,55,2782,Yes
452,F,Ship,2,3,189,4,low,M,34,3355,Yes
453,A,Ship,3,2,157,2,medium,M,53,1390,Yes
454,B,Ship,4,1,275,10,medium,F,23,2726,Yes
455,C,Ship,4,5,133,3,low,F,53,1467,Yes
456,F,Ship,4,1,149,3,medium,M,54,1178,Yes
457,D,Ship,3,3,254,2,high,M,17,3153,Yes
458,F,Ship,3,4,145,8,low,F,15,1429,Yes
459,A,Ship,3,2,179,5,low,F,52,1991,Yes
460,B,Ship,5,2,168,3,low,M,26,1526,Yes
461,C,Ship,4,1,202,3,medium,F,18,3940,Yes
462,F,Ship,3,4,220,7,low,M,43,2620,Yes
463,D,Ship,3,4,244,8,low,M,1,2703,Yes
464,F,Ship,4,2,186,7,medium,F,40,3111,Yes
465,A,Ship,5,2,263,8,medium,M,24,3139,Yes
466,B,Ship,3,2,294,4,low,F,15,1318,Yes
467,C,Ship,3,5,226,2,medium,F,2,1043,Yes
468,F,Ship,4,4,173,5,medium,F,2,1175,Yes
469,D,Ship,3,5,194,3,medium,F,10,2277,Yes
470,F,Ship,3,5,183,3,low,F,2,3459,Yes
471,A,Ship,4,1,140,2,low,M,61,1770,Yes
